epoch,sequence_number,network_total_transactions,content_digest,computation_cost,storage_cost,storage_rebate,non_refundable_storage_fee,timestamp_ms,transactions
12,1000115,155441285,78qLC9V9bpjFKsXJ7DzsMUSpanu5yNBLdstqdzepqaLR,10600935248892,22052074507600,11962925514540,120837631460,1684836712061,139
12,1000113,155441005,HVVJARsdTa67G6FrWnBqQwSkULReJPCaDTTVWu25MF9E,10600657248892,22051499970400,11962616579100,120834510900,1684836710145,144
12,1000116,155441435,FzJqHhn59B3D6cYc4DkkM4cq55UQNkrWM8TWJgzP3o5r,10601103248892,22052389451600,11963092848300,120839321700,1684836713195,150
12,1000122,155442297,4CMQ35fhNfL7Dfq99kD8L5xjefoG9rEAfSikdKE8HeCz,10601959248892,22054144519600,11964026501460,120848752540,1684836719000,136
12,1000120,155442013,HbNWLxGVPkir4vdczX1QgCK2MAx4PRusmFBziAPBfT1z,10601677248892,22053562838400,11963713503060,120845590940,1684836716959,128
12,1000118,155441732,FYwSi9ghcxU6eGJcaz3ctaKWQVNuhMXxCnDSB4VBux7e,10601398248892,22052997656800,11963419389900,120842620100,1684836715143,138
12,1000121,155442161,5VTcX1469Ziwa73DdfX9hFYakHYpbNkVy6AEFXfSSK7w,10601824248892,22053877759600,11963894455260,120847418740,1684836717959,148
12,1000119,155441885,AWGnai6MU2TZ7nuC6zCKSZiBr4E2QPPe4jJCMa9PsHSM,10601550248892,22053299680800,11963571675660,120844158340,1684836715965,153
12,1000124,155442634,HW1kn7cu19JRmekkkc9Sy9do6RHgzddLgMwtrRLQDyvP,10602294248892,22054875145600,11964446649144,120852996456,1684836720987,172
12,1000127,155443046,AJyqo8aDVHTozkiVjEbxYsGGWy8D9epfgVoXQB9r7ztq,10602703248892,22055719999600,11964896004996,120857535404,1684836723984,130
12,1000125,155442776,2pqM6cPavDXHTL2PMws2wNeK4mStrMhcbzPEArUs8Zxi,10602435248892,22055155958000,11964587716620,120854421380,1684836721959,142
12,1000126,155442916,9SPKEBnvJh5TsDV5q1bX727z8V5hceauX59FvmoVMfwx,10602574248892,22055455018000,11964759865740,120856160260,1684836722985,140
12,1000123,155442462,AcJADw1d9vpTPJHS4j83ez3v7EkpcvJ9YV9s1j35pzPL,10602123248892,22054515080400,11964250009404,120851010196,1684836719964,165
12,1000128,155443213,H36f5PnJ1kHyitkJTQrf3iYxvveH8NjFuEjiyLNJL3uM,10602869248892,22056060228800,11965075979076,120859353324,1684836724973,167
12,1000132,155443801,CqaPetipYhmA1XQGzvzQ5jeeMX55NCG9fRrM9MSM7YJz,10603453248892,22057263012400,11965721538276,120865874124,1684836729032,157
12,1000129,155443374,D6saKcd2TMpe6rgapLUMga31tCroq4SCik2tX8upJ2mo,10603029248892,22056400792400,11965269646836,120861309564,1684836725945,161
12,1000130,155443512,AQojckZf2XzZQdkQeYoY8iAcZzLrJg7yc1ecoaH18Njg,10603166248892,22056683687200,11965422233556,120862850844,1684836727008,138
12,1000131,155443644,QPmT7y5PvQmxeDqYwRsF8YUq5AXygZkfyEMAwV3G58p,10603297248892,22056942543200,11965550367276,120864145124,1684836727948,132
12,1000133,155443928,8368j7evKvrAAscYpsrm15oKc2qi6tZsdqRQ9xMsrqTh,10603598248892,22057534872000,11965873553172,120867409628,1684836729941,127
12,1000138,155444716,3ydPPdniHiBuU8hVA4TnfNdYmk8nzxarer9Afmv4qv61,10604430248892,22059263925200,11966841357768,120877185432,1684836734924,136
12,1000135,155444263,BjPSi1XkRrqbJKz9KXhkzgvW2qCFXUMARiCQebW9G4d8,10603980248892,22058348034000,11966367428532,120872398268,1684836731899,150
12,1000136,155444402,2PeKbdRCxi3PM91uTvz8EdeUuyS53yqb4oK4v1yP8evG,10604118248892,22058629826800,11966512258008,120873861192,1684836732926,139
12,1000134,155444113,5hakukXbUZiTaDFixLxZDikyzobzqX7uvb4qL899qiN5,10603782248892,22057911482400,11966069026692,120869384108,1684836730927,185
12,1000137,155444580,7QLkkne7NhUyHyvK1Wd6c7CiTrhiVQ4VzqeEgTxMoeEQ,10604295248892,22058991769200,11966703969528,120875797672,1684836733926,178
12,1000139,155444867,EiUC8cqcDav2qG7CkU7op54y6hYJQ7p1jVWAsnj2BFfC,10604580248892,22059572515600,11967006660048,120878855152,1684836735922,151
12,1000140,155445021,FBqVP34Fw7ToneUwsvH1yuttZ5mVfXW5GxJSBB9KjgJz,10604733248892,22059911430000,11967210109008,120880910192,1684836736930,154
12,1000141,155445175,3KHKXXShyRs5Tb3kvfTm4GsxgyVL5nmw574zK8JFKrfr,10604886248892,22060235456000,11967383025576,120882656824,1684836737941,154
12,1000142,155445327,BsBFRbQtTfcLyiayZsntgQ1iNfnfnVbFG5Kb7n1ecS19,10605037248892,22060546007200,11967548327856,120884326544,1684836738934,152
12,1000144,155445618,5e3yu1ANuU11UEhJWrurUwxek2y6vB6RkPCFqrz59cPg,10605326248892,22061117907200,11967832810296,120887200104,1684836740938,140
12,1000143,155445478,5kvbg3ARTJrokT5ymsQyfGGFF8Hra1pJKgEALAWW2DHA,10605187248892,22060842407200,11967695045856,120885808544,1684836739935,151
12,1000145,155445781,7ihAh2snvmjKPTfxYrQ3iTjJA6ZARWxPoNJoTn4Hb9Y1,10605488248892,22061466405200,11968021459548,120889105652,1684836741983,163
12,1000150,155446527,CEMNTwAWr5DePqT46zJkQMG1fWjcqw5XV8FpKozLsRqm,10606271248892,22063118356400,11968880956164,120897787436,1684836746951,158
12,1000147,155446077,3fNj5JS1vjL9p1dTDX4KnpbPnP8kGF35e7ELxYGdtf2R,10605782248892,22062094066400,11968372762632,120892654168,1684836744031,146
12,1000146,155445931,3B5xFQ4cees4NkgxN7XkM6og9sm1ZRMVC2knUp1Zdocy,10605637248892,22061783104800,11968196701032,120890875768,1684836743001,150
12,1000148,155446224,9ibjkR7Tg5ppsnwaYPsrXzikpckYja2ahabbRSK2KCcV,10605951248892,22062434531200,11968564346244,120894589356,1684836744965,147
12,1000149,155446369,8boA7DarZy75jzTMFd1L77bEYSDR5ACF9mChWRn5Y5DG,10606114248892,22062795934000,11968708807044,120896048556,1684836745939,145
12,1000152,155446849,4f8RTaghixFYRUv1hXP3zX2d1BE2Zh8oauSjNTDW4z5b,10606591248892,22063811681600,11969283941604,120901857996,1684836748964,161
12,1000151,155446688,8g3w9QaxkwnegD7iZvTpbTxFzjHfNg4A8FUxLrmZeYNT,10606431248892,22063446729600,11969056039644,120899555956,1684836748014,161
12,1000153,155446998,H4q5ZQmkwNg6ixWdQCGtzEeLBew5YaHbtqTpGGnyvH6p,10606758248892,22064124649600,11969455187844,120903587756,1684836749958,149
12,1000155,155447282,4ZjtkGp93cJ61nK21QG9sLGWc8hqpgmEy6FQwTzjuLDu,10607040248892,22064736092400,11969807762484,120907149116,1684836751929,149
12,1000154,155447133,GazDKaHdErFV7DNRfumnn5nNHKj44WmT6x9dwfefKoup,10606892248892,22064419195200,11969626810284,120905321316,1684836750947,135
12,1000157,155447587,3kp8vFtkQi6EH8uPbNmS5W4tGC3jDdhquNhgUqUJmXJM,10607343248892,22065342618000,11970107623980,120910178020,1684836753913,156
12,1000160,155448039,FvHk5suJwfX9WzJQmRTcybqJv4ckyikpLoZTt1pHTtGT,10607792248892,22066271079600,11970604065024,120915192576,1684836756950,148
12,1000156,155447431,BToJwbKdQfRJsHRXurpPHPbPK4zYTctahXTYTKWR3Cdp,10607188248892,22065036338000,11969956015380,120908646620,1684836752933,149
12,1000158,155447740,GWS6qsX2aCsFqxBbnLPvzdGoedEBoeU6H6xHAF6ccfQb,10607495248892,22065667388800,11970292488660,120912045340,1684836754940,153
12,1000159,155447891,EYfjD5yFbT6GxDnFwRTBXFP2mZvHEQ8M2Z4nmT3Wo9KA,10607645248892,22065975994400,11970457790940,120913715060,1684836755941,151
12,1000162,155448328,2jwyg6GsEXcnVNXYmE65846zQQY9qkhNtKUjZFZZg9hG,10608079248892,22066842630000,11970888833376,120918069024,1684836758942,149
12,1000161,155448179,AD2cKDguJ3uedPpDXggs76VvnaGgyLyZiQHqEkmd36VP,10607931248892,22066550182000,11970744071616,120916606784,1684836757912,140
